,p1,p2,p3,p4,p5
1985-04,-0.08922473374842257,-0.19530953663479889,-0.3062534580372162,-0.4284932317292046,-0.5388136603061595
1985-05,-0.08026689946930571,-0.17440100732621971,-0.2766630059693476,-0.38881450203918594,-0.4865558647932524
1985-06,-0.0772158736031635,-0.1721296709591245,-0.27803541806668064,-0.38639804539093864,-0.4860354549587718
1985-07,-0.08152463852417757,-0.17670137961816867,-0.2839291235824738,-0.40050741778893634,-0.4962326214630905
1985-08,-0.08011521030178846,-0.17707136321182665,-0.2767025684087728,-0.38968526726064767,-0.4860354549587718
1985-09,-0.08022355735918836,-0.17411532024685542,-0.2752924748058581,-0.38622146054145984,-0.48908044001047335
1985-10,-0.07770211566403681,-0.17049180504037736,-0.2669648308630594,-0.3723543690423643,-0.47529761770684514
1985-11,-0.07667588179791739,-0.16613723237343733,-0.2578255798965635,-0.3599660680369462,-0.4595781637621527
1985-12,-0.07478820345858604,-0.15703984946128538,-0.24478862487258668,-0.33718048737157413,-0.431413884341829
1986-01,-0.07556441686999044,-0.15612763271147945,-0.2466936917744701,-0.3387367988077195,-0.4324150164747629
1986-02,-0.07357119316841902,-0.15110199844923924,-0.23190683698436662,-0.3155467106000855,-0.4017171405216869
1986-03,-0.06791488129864146,-0.13672505837893512,-0.2127230339863257,-0.29139562583043405,-0.3684005639713483
1986-04,-0.06496527885235918,-0.13403437624243386,-0.21389891494938873,-0.2909139560325211,-0.37013657505486997
1986-05,-0.06816107466872004,-0.14654137085716956,-0.22953895840307018,-0.32196990562110483,-0.40538511130799376
1986-06,-0.06418658307503688,-0.13564791659628286,-0.2137503062976149,-0.2978940375281976,-0.37511535661354417
1986-07,-0.061971152982753054,-0.12916380159417878,-0.21154853409548424,-0.2870156279086205,-0.3696733440101069
1986-08,-0.0549843083327595,-0.11914396129572495,-0.19028921444326255,-0.26231326576794667,-0.3323587087896736
1986-09,-0.058233108764780495,-0.12664090096739744,-0.20166341026270101,-0.28480621170631676,-0.36417442344029805
1986-10,-0.056348153953872736,-0.12323034534461454,-0.1957959297959724,-0.27148069311377293,-0.35282522078398504
1986-11,-0.0576291128366363,-0.12275537728294143,-0.19112418650810944,-0.2655423091059093,-0.3376289053045946
1986-12,-0.060599622128929595,-0.12592610059885054,-0.19496920213131932,-0.2656857745798848,-0.34584805253969536
1987-01,-0.05889050127297507,-0.12429418727204078,-0.19379108103725293,-0.2667167226866222,-0.33741868436161004
1987-02,-0.06008976487791178,-0.1258807336939999,-0.1938760536336416,-0.26619459081035773,-0.33743269771633744
1987-03,-0.06199243184220701,-0.129197938471682,-0.20097852061322968,-0.27376601812532153,-0.3532522366612303
1987-04,-0.06836449752665619,-0.14457500660824332,-0.22737750184627123,-0.3105413665978634,-0.3921688958158233
1987-05,-0.07147451965868934,-0.15273168707384427,-0.2361401423099948,-0.321100981997226,-0.4061503428278592
1987-06,-0.068418036736109,-0.14715520531487186,-0.22899815611600463,-0.3128084457694029,-0.4007761186220328
1987-07,-0.0691571706976133,-0.14990470674246792,-0.23527939365873257,-0.3195856214647893,-0.4069612267357022
1987-08,-0.07224816420762409,-0.15670059476549586,-0.24454595757464578,-0.3314389250133621,-0.4214725462539813
1987-09,-0.07903238488819334,-0.1688092604470359,-0.26278135143616904,-0.36074033932865635,-0.4552647816607704
1987-10,-0.06750825978276091,-0.15303463616906182,-0.24114205701688549,-0.3333072504780565,-0.4188543452271804
1987-11,-0.06901787179945656,-0.15129974759927137,-0.23917131239140701,-0.3307705223315767,-0.4233338066506475
1987-12,-0.07242016653007954,-0.15256859864460692,-0.2368368784462122,-0.3248579443853061,-0.4156366634296607
1988-01,-0.06774365208651953,-0.14333933361560827,-0.22175701300287554,-0.3037572553084554,-0.38431045403576736
1988-02,-0.06607570199492412,-0.14007849247185436,-0.21713662905080847,-0.2965479248976227,-0.3771546575489817
1988-03,-0.06849299644530044,-0.1453610883781013,-0.22593494362723254,-0.31155135740272394,-0.3988222210200053
1988-04,-0.07071220583838811,-0.15263849042885608,-0.23669749237825766,-0.32537009411031986,-0.4127314441002096
1988-05,-0.07664349156033208,-0.16106116901766618,-0.24816653096977115,-0.340562590725265,-0.43202984703396635
1988-06,-0.07508999263957879,-0.1570866522460598,-0.24063310582704106,-0.3275045666389525,-0.415712433059714
1988-07,-0.07947620150179678,-0.16568865365215582,-0.25190317298563436,-0.34101252816343164,-0.42998323592188975
1988-08,-0.08253414205361874,-0.17058668057560594,-0.25822683544348035,-0.3500682448878767,-0.4396839514948475
1988-09,-0.07953033895680812,-0.16494540041044828,-0.25104160835678896,-0.33657824223960997,-0.4248773116296257
1988-10,-0.07902156255305791,-0.1615194291646915,-0.24301468095662151,-0.3271993629130981,-0.410603285964288
1988-11,-0.08463239084070363,-0.17283073744062064,-0.2590816581198389,-0.34944400743038445,-0.43666170079659244
1988-12,-0.08871100235305508,-0.1789592158031525,-0.26982905683227415,-0.36013807652312224,-0.45054615954880284
1989-01,-0.0888312137066157,-0.17811043602249002,-0.26592058067026814,-0.355047697194576,-0.44167276507767395
1989-02,-0.09354174440836421,-0.18622115033506617,-0.27752054278054117,-0.37039723684767134,-0.45801181927337686
1989-03,-0.09594938405183889,-0.1895878927859998,-0.28395569071096716,-0.37390830320394697,-0.4645942861582266
1989-04,-0.09099749282205884,-0.18203759711432077,-0.27121834642111575,-0.35922103963409646,-0.44503788322798754
1989-05,-0.08765158187705306,-0.17209403663851877,-0.25808443601283737,-0.3432088769140663,-0.42729669234609585
1989-06,-0.08096062883429113,-0.15767187195423418,-0.2375467816249536,-0.31447789523894404,-0.39715473511247024
1989-07,-0.07597432809758911,-0.1472015477390524,-0.22376874670812816,-0.2974765487842291,-0.3716870640592361
1989-08,-0.08112329129378083,-0.164509143955482,-0.24563203228833985,-0.32688038585593837,-0.40666082269000453
1989-09,-0.08286000586715378,-0.16607819735975357,-0.2492180557774914,-0.33074268191285516,-0.4116290663260656
1989-10,-0.0774643677837361,-0.15351255014198817,-0.23318126098479566,-0.3107596565696704,-0.3880329351791248
1989-11,-0.07668667877692273,-0.1515091716838065,-0.22917419917156065,-0.30750389993228294,-0.38423702666641674
1989-12,-0.07799397442808705,-0.15512281886799872,-0.2343182564077032,-0.31223436155462025,-0.38843101555238485
1990-01,-0.08075462769513526,-0.16195438300178727,-0.2448141722246052,-0.3288096692192019,-0.4124293019097974
1990-02,-0.0804944763723161,-0.16480389097624987,-0.2480255568382907,-0.33445227811174694,-0.4188391431536173
1990-03,-0.08241468525611349,-0.16985163051168564,-0.25672618833133576,-0.3419552408536373,-0.4269134889140352
1990-04,-0.0853727203211213,-0.175222812604631,-0.2652945535741518,-0.356003740674621,-0.44371229529166695
1990-05,-0.08121005542554317,-0.16591291785993806,-0.2504119784684036,-0.3384562033823896,-0.4243115926545436
1990-06,-0.07924885619035585,-0.1613196489222928,-0.24459704053338177,-0.3292543483627402,-0.41386529106165215
1990-07,-0.07667588179791739,-0.15494766400145685,-0.23584892381176373,-0.31782517869900107,-0.4018964832311392
1990-08,-0.07599590702792239,-0.1581168680971372,-0.2436269102556101,-0.333181656523147,-0.4228605350373467
1990-09,-0.07625489051917249,-0.1577772478829571,-0.24194418077792715,-0.3308958138084399,-0.41981254206543894
1990-10,-0.07455114726438287,-0.15204456590968252,-0.2339770220206045,-0.32114234219631227,-0.4082088687792277
1990-11,-0.07311923035080814,-0.1474912365573518,-0.22669986751698695,-0.31045952014176936,-0.39336856716093144
1990-12,-0.06917860301969908,-0.14127558735795356,-0.21941301841304278,-0.29878346552295487,-0.3825790043214635
1991-01,-0.06608638512785962,-0.13820515479801881,-0.2150637807497895,-0.29761120352966586,-0.37633843805723866
1991-02,-0.06496527885235918,-0.13788370736338623,-0.21495219228792076,-0.29810958380412317,-0.37849703755649927
1991-03,-0.06421857232665117,-0.14004398214463556,-0.21763375814061234,-0.3022273438938167,-0.3869574365524246
1991-04,-0.062013711154460464,-0.13370283589150825,-0.2118698390908339,-0.29645376483890484,-0.37754843011395606
1991-05,-0.06239681622571067,-0.13490376246480165,-0.2115361782724938,-0.29815000390369695,-0.3810408241976403
1991-06,-0.06364292230595774,-0.13761973853312912,-0.21945037947659204,-0.30770792466078767,-0.3935464187146372
1991-07,-0.0617583892879472,-0.13379428432037363,-0.21308184052540316,-0.3007538031420024,-0.38564777503776215
1991-08,-0.05675026185118723,-0.12636853581483473,-0.19991542519500263,-0.28407525152438884,-0.36525450044677193
1991-09,-0.053854466126478706,-0.11865966978782781,-0.18968459757054448,-0.26897808765800924,-0.3435049079853936
1991-10,-0.051535428962918836,-0.11208306141865303,-0.18232555680195464,-0.26092330315108975,-0.3355426688032807
1991-11,-0.04815086856242198,-0.1073959190198969,-0.17406771366761714,-0.2545310245558423,-0.3296853199322387
1991-12,-0.04183292200196156,-0.0947283491006411,-0.15529800441914252,-0.23138995966818515,-0.29617133784776645
1992-01,-0.043272912233466874,-0.10092591858996053,-0.1726049166106608,-0.2500266863479981,-0.32141812058255026
1992-02,-0.043889193569725225,-0.10487174623617435,-0.17473441210652224,-0.2550341951864549,-0.3328328671674526
1992-03,-0.04609629589297344,-0.11126681242858683,-0.18733007852507702,-0.26961952030012276,-0.34593284740683033
1992-04,-0.04376381744117582,-0.10780795263430526,-0.1818096878212325,-0.2644604599509214,-0.34604591841554416
1992-05,-0.042573527559061526,-0.10373960781678626,-0.17434148245373407,-0.252688228655511,-0.33459200536437755
1992-06,-0.040634512096183135,-0.09598240569753073,-0.163590091222004,-0.23964139542688997,-0.31557413114904664
1992-07,-0.03569971913432515,-0.08710592691387838,-0.15004412328446645,-0.2225812094580336,-0.29233287066720837
1992-08,-0.034353377871696636,-0.08217581446236083,-0.14225504758087126,-0.21360171972709102,-0.2811434956121984
1992-09,-0.03104700907219739,-0.07548892523065362,-0.13198972446295196,-0.19919511799558162,-0.2679186616108308
1992-10,-0.0359588388542673,-0.08927940155948236,-0.15220756889066941,-0.22657443005366976,-0.30118617715225116
1992-11,-0.03921911315456135,-0.09478331862005641,-0.1628601641822963,-0.23866336297224652,-0.3120294113226507
1992-12,-0.03650839481652294,-0.08987000442904282,-0.15603411905257256,-0.2273900549616409,-0.3027144952857429
1993-01,-0.03464320594357406,-0.08443651298080475,-0.14362790559034663,-0.2096721988167537,-0.2836502113384104
1993-02,-0.03328794686617491,-0.07851304487111073,-0.1328915973371832,-0.1980851519734328,-0.2657640371508501
