,r2,r3,r4,r5
1981-02,0.1327872539142746,0.1336950623988005,0.1102575812468631,0.087376417186449
1981-03,0.1536195837629353,0.1380650099169331,0.1121636009110023,0.1025458090435896
1981-04,0.0651576453087023,0.0199486757869326,-0.0125311533850632,-0.0469811354034714
1981-05,0.0311519530711591,-0.0042370714476108,-0.0343951199215096,-0.0560984759693195
1981-06,0.0357864093582051,-0.0086795010578997,-0.0402373427244242,-0.0822764866897302
1981-07,0.036095321535491,-0.0103998730920719,-0.0428908588609624,-0.0689739520694796
1981-08,0.0651141870454209,0.0247637106729407,-0.0195589033812927,-0.0315671837566143
1981-09,0.0797617248150449,0.0354240775710847,-0.0017345782084449,-0.057971336529948
1981-10,0.1120218040873088,0.0906008859979252,0.0622453870406039,0.0408101776114402
1981-11,0.1526793732892595,0.1538986065230068,0.1256429581857863,0.1389198205702529
1981-12,0.1188402167241647,0.0951227315473051,0.0747710933567856,0.0516528507333141
1982-01,0.1147462435369544,0.0983195346712494,0.0756929824543685,0.061327384288299
1982-02,0.1256668939187616,0.1218171546201909,0.114745841804019,0.1072269994118823
1982-03,0.1158533345619787,0.1025707748800299,0.0930164879625151,0.0862279575299579
1982-04,0.1521536347892163,0.1435190734262414,0.1534854507284784,0.1555499543062272
1982-05,0.1484927557042885,0.144874952616475,0.1391711618775114,0.1311749914478268
1982-06,0.1401236350432673,0.1253548184947183,0.126195408224485,0.10827520787579
1982-07,0.1794955356727403,0.1758131200326999,0.1823806776665957,0.1889180413943296
1982-08,0.2004407271035406,0.2344295184257079,0.2315981903416115,0.2400114411106098
1982-09,0.2098165109001906,0.2466012246501105,0.2981398310905982,0.3048330444661706
1982-10,0.1853853170479659,0.2228201804446666,0.2555399057079652,0.3025330527056855
1982-11,0.1394242837930109,0.1818261971381531,0.1850580347517174,0.1852841047914397
1982-12,0.1791073463159116,0.2189773980133263,0.247311067010882,0.2658715940426774
1983-01,0.1823717451640106,0.225060113559074,0.2514495415059941,0.2815001092938526
1983-02,0.1904109620090787,0.2251808789738223,0.2580632625513803,0.2750851952130352
1983-03,0.1852573725376831,0.2227827435253369,0.2563509945735772,0.2790300025591958
1983-04,0.183281647639922,0.2177816724908518,0.244432629278556,0.2673911965337981
1983-05,0.1684431872190689,0.2004571314428217,0.2237214678230512,0.2439844004634302
1983-06,0.1872839198327968,0.2253240369919646,0.2481593691533297,0.2846473220042544
1983-07,0.1538182698518982,0.1760079443021488,0.1826941692285051,0.2037395053832433
1983-08,0.1294958370016898,0.1476009922536248,0.1638633758065697,0.1592904047636369
1983-09,0.1226281721400367,0.1295154952939042,0.1256480088126954,0.1397350109598534
1983-10,0.1039095513915713,0.1101238707300584,0.0884756247882608,0.0757230129886132
1983-11,0.09748933926443,0.0972954064806559,0.1041939888777483,0.07941824034917
1983-12,0.0870816074156864,0.0841444408011716,0.0834668829057414,0.0663586617407603
1984-01,0.0917952763053024,0.093851220003699,0.0821760668828508,0.0857594268084525
1984-02,0.0837580900171604,0.0712895722426857,0.0672889850336358,0.0494118761007496
1984-03,0.0870285612652094,0.0747241944414113,0.0516306425142787,0.0445314823376115
1984-04,0.0775462068028007,0.0555748939682971,0.0362664206312544,0.0198181704517516
1984-05,0.0771579361874221,0.048974203340694,0.0254749974372013,0.0033359611656393
1984-06,0.081578353982145,0.0495730826347499,0.0232287857500315,0.0088833396050481
1984-07,0.0991103126978676,0.0848068209826048,0.0870968771491723,0.0810282045257943
1984-08,0.099712507400251,0.0909881670958803,0.092925951785338,0.0916875516529308
1984-09,0.0946566671506779,0.0847572374159777,0.0731302555443434,0.0794283897162685
1984-10,0.1055510978254453,0.1067576575431103,0.1098108819355251,0.1129070355601208
1984-11,0.1133660564452772,0.1156988609185974,0.1257304263006661,0.1167068315856807
1984-12,0.1209768431298709,0.1271856837655673,0.1357089343480252,0.1426086307215691
1985-01,0.1186518668053552,0.1244968600761141,0.1343768066907569,0.1362720051295341
1985-02,0.1179896071081171,0.1218950604332914,0.1294872883043795,0.1242961010029481
1985-03,0.1298871320620605,0.1425989753026533,0.1557537558711058,0.1562060344350925
1985-04,0.1424425415066758,0.157828811295598,0.1755960574922572,0.1858058005130621
1985-05,0.1719450743422514,0.2132634761564379,0.2483967778244676,0.2815736414002444
1985-06,0.1785412660642434,0.2214760386365924,0.2511239123878148,0.2818419114629066
1985-07,0.1630340895455165,0.1926970224536022,0.2117944457738894,0.226290382229475
1985-08,0.1625807496159093,0.1904045589923029,0.2193165480402448,0.2338052621628097
1985-09,0.1550178791531579,0.1838604694249249,0.2097516984746401,0.2225294260464541
1985-10,0.1387389475905005,0.1619923943829795,0.1819663893653414,0.191502901275432
1985-11,0.1273760792607717,0.1517978832493644,0.1817962848630951,0.1922893738255173
1985-12,0.1209347522796314,0.1545388191526923,0.1812517089090369,0.2111739482868306
1986-01,0.1177776432074295,0.1466680775503496,0.1755107403379922,0.1906941692838404
1986-02,0.1341912561074885,0.1726909610149002,0.2188590303539611,0.2499991253661381
1986-03,0.1363946489218575,0.1831083740899308,0.2328611907186663,0.2647586600219281
1986-04,0.1303442577824397,0.1722190817947823,0.2145943167798158,0.2478997042736384
1986-05,0.1062399326574996,0.130121635112178,0.1592755436361157,0.1645859591721475
1986-06,0.1079430878840876,0.1423875014703977,0.1726477390933237,0.1881414174305742
1986-07,0.1147302266354156,0.154765321988295,0.1889588836934521,0.20921699355447
1986-08,0.1220870548790671,0.1575586071130478,0.1993960528173851,0.2237221891908251
1986-09,0.1158822114820749,0.1486515738384606,0.1845580502787588,0.2042742283041566
1986-10,0.1141436510865046,0.1437344855184448,0.1765584392463919,0.2038169245930722
1986-11,0.108508119536801,0.135070202613622,0.1688418815288367,0.1940358546562434
1986-12,0.0964402273323557,0.1188625242737361,0.1422112852402548,0.1657281097619442
1987-01,0.0972371314385043,0.1223995045024293,0.1449457177704665,0.1656982937881406
1987-02,0.0910122335713274,0.1060261032903667,0.1216706569664438,0.1355225497113291
1987-03,0.0747326265367281,0.0835250955146436,0.0904171052172043,0.0946345458460267
1987-04,0.0656698787157776,0.0693239083411454,0.0635364541862499,0.0595952084570065
1987-05,0.0750668511984802,0.0768072713292259,0.08582976331111,0.0842841293107677
1987-06,0.0672298798601738,0.066595100982743,0.0688958814121929,0.0623069108441412
1987-07,0.0600066308965654,0.0616438273530163,0.0517362342498879,0.0500877225453175
1987-08,0.0468957970881008,0.0335886196777666,0.0177673081933008,0.0009197837763115
1987-09,0.0476085160792041,0.0328541498156651,0.0220248602701477,0.0034340841116417
1987-10,0.0557220855618536,0.0427612936269105,0.0303386360968874,0.0195179703059285
1987-11,0.0537375054834848,0.039824438908838,0.0263709967145023,0.0068583829730178
1987-12,0.0535059340687709,0.0424006034867124,0.0288488961336725,0.0209901081543892
1988-01,0.0565505351855212,0.0504517474216446,0.0449597096837466,0.0336614290531546
1988-02,0.0598050316990757,0.0537975611617872,0.0490579617595492,0.0408847728187147
1988-03,0.0607049420263815,0.0556174322351283,0.0478310744980889,0.0417008792585063
1988-04,0.0738628007698552,0.0747390114174151,0.0738438742196057,0.0667988017055034
1988-05,0.0760881955135121,0.0750789732923286,0.0729344510274548,0.0655877521025942
1988-06,0.072065212675293,0.0719115038699448,0.0721753399423618,0.0732715519830802
1988-07,0.0704285052406711,0.0695907400065767,0.0676824484791549,0.0659486985722705
1988-08,0.0741664527118771,0.0739592769990398,0.0732120895698817,0.0714043013661046
1988-09,0.0892789214902277,0.0978359510257207,0.1096987309718673,0.1186865394211604
1988-10,0.0740130736160039,0.0796226278521939,0.0902925695214349,0.0916549823140823
1988-11,0.0666673567585677,0.0663405749507863,0.0716888642117378,0.073889799220263
