Date,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rx11,rx12,rx13,rx14,rx15
1995-02,-0.01671951133386034,-0.034340689122437366,-0.048071599728888435,-0.05822479888999837,-0.0659769315914514,-0.07230519149528752,-0.07784138524551054,-0.08294691459618253,-0.08781641698106213,-0.09254477150928486,-0.09718097724089247,-0.10174933319724211,-0.10626037236350538,-0.11073034121173386
1995-03,-0.008145016211414093,-0.015445816490595322,-0.01985362894337512,-0.021736861861079655,-0.02208335880480678,-0.02179443829500622,-0.021491308412984085,-0.021526083179096996,-0.02205224128741424,-0.023100161015021776,-0.024631606487541265,-0.026578988633647944,-0.028865283847936414,-0.031421305536344375
1995-04,0.0002689593369973528,0.0017620049939557902,0.004745926415932661,0.009060467937461097,0.014197564271222124,0.019554434453768893,0.024597939379129546,0.028934851066855644,0.032323783151340185,0.03465845190912073,0.03594037601499164,0.03625051606718363,0.03572413745201139,0.03453033901969513
1995-05,0.006179049521471872,0.01442008591416332,0.02360311621223781,0.033381087674549774,0.04348132609607074,0.05361113812253603,0.06348244031054073,0.07284473166303507,0.08150472215832316,0.08933272655805602,0.09626015997560466,0.10227217177769732,0.10739826614397496,0.11170266553374864
1995-06,0.008702965338834086,0.02139090041273592,0.03459139311639049,0.04758355916059097,0.06037703867056228,0.0731086088175354,0.08585956697453952,0.09862103985936212,0.11130933214867895,0.12379308888475911,0.13591821787717656,0.14752658155724868,0.15846839997756207,0.16860958111674756
1995-07,0.010316653289398764,0.023165751688009842,0.03709882719035493,0.05155837460843635,0.06613164379364747,0.08046258221816951,0.09425875686906479,0.10730005384515282,0.11943865540291695,0.13059274878023094,0.1407371373274061,0.1498929221718099,0.15811751147308015,0.1654955994036393
1995-08,0.009438320508036509,0.019428055737595214,0.029709299934153978,0.04033850892579952,0.051176458321459097,0.061971440407930435,0.07245942375604095,0.08241998948903204,0.09169894448734525,0.10021164692084092,0.10793652304853393,0.11490442927653008,0.1211870194671911,0.12688575642144181
1995-09,0.012469546095389278,0.026994399840671757,0.04229277562168127,0.05804398422758572,0.07407094172993281,0.0901851350602926,0.10618520025234732,0.121881595448078,0.13711678827665494,0.1517758303645795,0.16578885490974335,0.1791282719802821,0.19180308956071931,0.20385209365699572
1995-10,0.016508053320060216,0.0356454795755717,0.055462522118673745,0.07543571078051156,0.09543325473383954,0.11539426004051875,0.13524010677169765,0.15486493824983535,0.17414951446882723,0.19297771824758894,0.21124898368674164,0.22888549519763082,0.24583499303879178,0.26207049333807964
1995-11,0.022150965482638216,0.046554309626472404,0.07025496558384968,0.09301218950281885,0.11488222519927825,0.13594598271935138,0.15627894747905113,0.17593667038570437,0.1949672894933006,0.21341679624755344,0.23131977662555742,0.24872055311652846,0.26564874859260706,0.2821440641446889
1995-12,0.025542954425048087,0.050748328607232135,0.07428337212647812,0.09624575322670839,0.11681036461994526,0.13614219781149767,0.15438500154590723,0.17167434986891578,0.18813004233598846,0.20385769463900888,0.2189574044751294,0.23351299821287846,0.24760880753182563,0.26131572166040123
1996-01,0.027382769539267618,0.05482758712595143,0.0799919401369685,0.10299282177574098,0.12410303891440005,0.14357329346501435,0.1616164935053167,0.1784258703513219,0.1941751414133373,0.209014533928862,0.22308523423420418,0.23651334936164575,0.2494127335978949,0.26188619047425316
1996-02,0.024661638608439326,0.04875307217462235,0.06962364212721424,0.0876918757240709,0.10364410459560665,0.11798566023535652,0.13104176774216514,0.14303020258918936,0.15410934783888292,0.16441860838994887,0.1740895368981033,0.18324915939830372,0.19203372172032568,0.20056267573007597
1996-03,0.01582036796381435,0.028414393353476952,0.03947122259309491,0.04975681448245847,0.05951468031381754,0.06874379321577193,0.0773662815644319,0.08531456590129746,0.09257116002679752,0.09917525172153316,0.10521819856440681,0.11082886743952988,0.11616573595658927,0.12139622888473486
1996-04,0.011387012161459285,0.0180828943709267,0.02375915061659,0.02938408554886606,0.035123229065079385,0.04091863864054198,0.04668649640534502,0.0523720748881484,0.05795266053010869,0.06342595229230993,0.06879806051849421,0.07407514664786227,0.07925887412361263,0.08434468762494537
1996-05,0.005694694016967268,0.005635015816895912,0.0045705565553677205,0.0037473807275805113,0.0032460255659236756,0.00287978215653905,0.002491163112334875,0.002014970932626696,0.001463326923005319,0.0008937427626914893,0.00038118048812007393,-9.78863892726889e-07,-0.00019180016520459892,-0.00014769427012629316
1996-06,-0.0012224308319959618,-0.008993498234744553,-0.01696532555976172,-0.02378305492339034,-0.02959380927296002,-0.034817946591567124,-0.03978231085597756,-0.04465992720185331,-0.049501298849752746,-0.05428035053565051,-0.05893185342483232,-0.0633765582300736,-0.06753615807061397,-0.07134120260833188
1996-07,-0.00025217048844904805,-0.005894801445739908,-0.011691182539389972,-0.016490225218430382,-0.020371756093438803,-0.023641582070832917,-0.026536504615717077,-0.029179431074052603,-0.03160729882381738,-0.03380902697507257,-0.03575509797433549,-0.0374162203771313,-0.038773241435539924,-0.03982118201610049
1996-08,0.004409924100936283,0.0044041433132187766,0.0038298473120781315,0.00378135696442216,0.004338905731749491,0.00529424309621012,0.006425135944823905,0.007577558132315525,0.008672484565373832,0.009688240043551392,0.010639133465048627,0.011557661438876259,0.012481901935088462,0.01344758474878082
1996-09,0.00021234549119349827,-0.0047416113827680045,-0.010243285752303488,-0.015653915880392916,-0.02086921010416745,-0.025847227726692984,-0.030534685611373485,-0.034874921979171664,-0.038825933357793524,-0.042371754861001004,-0.04552599112545366,-0.048329982453690384,-0.05084817153494717,-0.053162480844978016
1996-10,0.0013858731186954382,-0.001497905838641636,-0.005675593196590056,-0.010191791258872124,-0.01467808441993848,-0.019012955198634857,-0.023178917049672038,-0.027196012811038756,-0.03109219055509513,-0.03489193040776481,-0.03861347770955256,-0.042269692056250835,-0.04587003520259955,-0.049422565471634566
1996-11,0.00022213480182749906,-0.001432706756380915,-0.0033451540785239334,-0.004957404767585251,-0.006212879841304621,-0.007263448279210917,-0.008313304043163473,-0.009541973482089607,-0.01107242976866555,-0.012963765617537905,-0.01521622445601515,-0.017781551848097744,-0.02057477687109558,-0.023485416638898284
1996-12,-0.0020810483737821253,-0.006871916016182422,-0.011886811878267955,-0.016430348524714283,-0.020513323731835315,-0.02437401620398963,-0.028267152873822504,-0.03238235753208332,-0.03682368714004117,-0.04161584222831963,-0.046720071757725884,-0.052051775951810014,-0.05749637959836287,-0.06292230636656873
1997-01,-0.0054881058903590435,-0.014379366789218098,-0.02329676479929478,-0.031197337482860008,-0.03803702729377044,-0.04414469895132338,-0.04991980299410097,-0.05570005533220283,-0.06171703497669438,-0.06809427967882713,-0.0748633919711467,-0.08198556138492434,-0.08937250191838901,-0.0969043367943168
1997-02,-0.004967874264419657,-0.012111658577450474,-0.01839530767665934,-0.02295983494980064,-0.0258769040858228,-0.027569934407964652,-0.028532392340954976,-0.02920010318895902,-0.029904613770573935,-0.03086724403690841,-0.03221154072133334,-0.03398224327833507,-0.03616479540253212,-0.038702721077053276
1997-03,0.00012109336380187324,-0.003797867050353426,-0.008287565524519494,-0.011879784544629415,-0.01417990587189323,-0.015308549478597569,-0.015586267376137788,-0.015368571405684497,-0.014969039258641584,-0.014631150051073752,-0.014525159359085951,-0.014756401757801144,-0.015377606341876918,-0.01640147033323426
1997-04,0.002094554802537729,-0.0009008952423759028,-0.004608367264111839,-0.007478700130141423,-0.009203331859158247,-0.009946417724775468,-0.010001243598794195,-0.00965075272709539,-0.00912169390482167,-0.00857870967980947,-0.008133156096185944,-0.007855473640293618,-0.0077866538146419625,-0.007947421603769177
1997-05,0.0051923434390006365,0.00636513017976309,0.0069686123501594005,0.008220058179115045,0.010346520941571749,0.013190635909110751,0.016489345679013515,0.01999032778544642,0.023491593138444303,0.026847286020403774,0.029960513488678245,0.032772718193072495,0.03525353415245337,0.037392444999490584
1997-06,0.009074091736704731,0.014404277143246103,0.018769409717330626,0.02343273759315856,0.028731549355739017,0.034545502795929106,0.040589799161851514,0.046571276359270664,0.05225699991181948,0.057493884823541175,0.0622043113736051,0.06637217897303754,0.07002694795783254,0.07322913482227028
1997-07,0.009415088229989106,0.016681182696535922,0.023096419894628205,0.029602000310319114,0.036607878360400935,0.0441420325211195,0.05203114341362416,0.06003332578081413,0.06791661744109959,0.07549680131976447,0.08264962928849176,0.08930894998654718,0.09545826259329962,0.10112012799370165
1997-08,0.006013004161191909,0.010239443005869549,0.01366726754584812,0.016982513770656148,0.020551353977180574,0.02450504977889003,0.02883157905189484,0.033446067677375145,0.03823721437500751,0.04309451953324763,0.04792222077940136,0.052644843036408616,0.057207889261953436,0.061575998901453176
1997-09,0.008613916226841996,0.015192437590701553,0.021858609453748172,0.028973196275755807,0.0364048444553385,0.04393587384860211,0.05139524489821192,0.05868373886291214,0.06576328333361434,0.07263854690810742,0.07934042477662714,0.08591375482064953,0.09240903282128296,0.0988772059959537
1997-10,0.005305777019571828,0.010079122912268618,0.015607460326255915,0.02168274105101682,0.02802356830965584,0.034469194612369566,0.04096392816200721,0.047509459270391394,0.05412810269614336,0.060841676395474595,0.06766183202727365,0.07458720289636715,0.08160407589534151,0.08868858893466185
1997-11,0.00219427903478428,0.004721296196884453,0.007971198753445596,0.011991059483987071,0.016684726227828656,0.021912128005260517,0.02753487823214837,0.03343417871300866,0.03951519014203134,0.04570538499725199,0.05195071865605619,0.0582114589631583,0.06445846297355509,0.07067015887599773
1997-12,0.0030239095732311136,0.0070329808912711,0.011855401138441683,0.017445949605200677,0.023772049696951923,0.030775981461097855,0.03837071225407864,0.04644828025693156,0.054890912749170705,0.06358079568393318,0.07240720864761033,0.08127100222231423,0.09008688119235655,0.09878407107136225
1998-01,0.00876493801785641,0.01997944666372921,0.03168280675733787,0.043229799591106594,0.054545494013101575,0.0657569819769814,0.07702317189259553,0.08846591056192485,0.10015058636194626,0.11208893514684834,0.12425015525140079,0.13657363810858422,0.1489804067365463,0.16138227067856867
1998-02,0.006832337424154643,0.015884122054371945,0.02547529200442577,0.03498770192488484,0.04429875244963002,0.05348324210028312,0.06266564969714097,0.07195428877202129,0.0814181190110572,0.09108429487722411,0.10094458389627345,0.11096452556918254,0.12109240006983643,0.13126679946264772
1998-03,0.0096497935061415,0.020621952175680323,0.03189021633143523,0.04318349789662248,0.05451328028928678,0.06595886108727403,0.07758205810076821,0.08940315261976498,0.10140295579770323,0.1135337648929077,0.12573138130208963,0.1379251262126874,0.15004506614032612,0.16202664348355225
1998-04,0.012497165409713566,0.025454989974110366,0.03865349234696628,0.05188754896441992,0.06511088676401316,0.07835941328290058,0.09167762860284995,0.10508357211385594,0.11856180702911229,0.1320698775760733,0.1455486847628567,0.15893209496127253,0.1721541307853221,0.18515361075219133
1998-05,0.010069752228263708,0.020534046200693663,0.03137257564839497,0.04240053916374429,0.05354640459265556,0.06480515735127815,0.07618618955536785,0.08768677522282539,0.09928451445037376,0.11093951277348743,0.12260005529648252,0.13420851034653578,0.14570613080416991,0.15703644714152473
1998-06,0.008260111808598994,0.017818723828199004,0.028046979049314386,0.038225723641501064,0.048467393951791865,0.05907005952523428,0.07027478304348736,0.08220394088888158,0.09486588414513944,0.10818041636629419,0.12200706675012166,0.1361695574921086,0.15047472574636425,0.16472613790952287
1998-07,0.0061249653644941116,0.012892677295816377,0.02044325924819318,0.028605846019491815,0.03720589760160686,0.04612466637754681,0.05529108267752458,0.0646619036893959,0.07420545246334243,0.08389147875736719,0.09368607946113089,0.10355000389646313,0.11343892656189375,0.12330469069442956
1998-08,0.008046697314461428,0.017424084770339042,0.02770901469735524,0.038595248192266625,0.04989021424748905,0.06146050549015134,0.07320138394132433,0.08502461216059196,0.09685452140644521,0.10862687142196206,0.12028828143119044,0.13179553030137472,0.14311461877203493,0.15421967372926318
1998-09,0.011632637512662858,0.026693421000006184,0.04289657198126812,0.059207424491375754,0.0751165164503019,0.0903529961904515,0.10477177800730136,0.11830668357629587,0.1309476527574061,0.14272657945221373,0.15370652483949238,0.16397274584248217,0.17362515929852623,0.18277214974868888
1998-10,0.015397072567601616,0.033041622916551605,0.05092420974379616,0.06804023427411113,0.08385012005451217,0.09808139757412601,0.11064030345589201,0.1215602349209716,0.13096473642213244,0.13903844325343737,0.1460039342697407,0.15210357409077327,0.15758563922219695,0.16269405334199752
1998-11,0.011014882856355601,0.023181087959707067,0.03520860441380719,0.046501369598271364,0.056830345471555826,0.06615209639163164,0.07451092620983138,0.08198808228963197,0.08867679329256276,0.09467098775393648,0.10006088999663801,0.1049318000121259,0.10936414008555764,0.1134338406854071
1998-12,0.010944999345904566,0.023380939078706794,0.035952855231762254,0.04791703974524586,0.05888874465333044,0.06869751881034764,0.07730258042667054,0.08474217249132909,0.09110247279660233,0.09649796784660913,0.10105869464270628,0.10492170444384769,0.10822520358623883,0.11110445481437453
1999-01,0.006648385700949375,0.013653654702038491,0.02179341880385121,0.030396497344834093,0.03863645500566503,0.04593069180948433,0.05199198034037766,0.05676751216056985,0.060358809895054204,0.06295420999147255,0.06478062675176416,0.06607244403184781,0.06705318036891644,0.06792582670047415
1999-02,0.005720532013652094,0.010245880873900534,0.015383857120548933,0.021041418320486338,0.026664378674606803,0.03176408677310788,0.03605552240643156,0.03944757640583846,0.041990124535831064,0.04381923107737157,0.04511379728024417,0.046065518090168844,0.04686002188968269,0.047666219438281254
1999-03,0.006498586151203842,0.010490302832280536,0.014155053718707157,0.01772562883608573,0.020903138225281705,0.02338975263511809,0.0250389348421328,0.025856833107894307,0.025958205298923266,0.025518562416252534,0.024736390885043348,0.023807704719102575,0.022911023538738563,0.022199921062593643
1999-04,0.007774209913776649,0.01257664991357095,0.017130962468105734,0.02170593604957481,0.02589018716296286,0.029265086814173377,0.03159703553168379,0.03284317411013292,0.03310035556115813,0.032549015448370064,0.03140866940380714,0.029907562870739243,0.028264135088857265,0.02667697519780675
1999-05,0.006167792766921518,0.00790542451748294,0.008455845069321663,0.008813471793141583,0.009050755488519593,0.008964329051480271,0.008351453377902676,0.007103146294098653,0.005214959707206715,0.0027665539204996953,-0.00010599769207002285,-0.0032352896843396567,-0.006441953201455061,-0.00954819302553682
1999-06,0.0021222104785391036,-0.001966872398736788,-0.007127925658029069,-0.012142541381487251,-0.01713034852265087,-0.022491599361483747,-0.02853521314540862,-0.03538908229977038,-0.043015862963957194,-0.05125905949985264,-0.059889702869499115,-0.06864386989696535,-0.07724953288512225,-0.0854442074679903
1999-07,0.002252344956750571,-0.000609564513583849,-0.004571778875957583,-0.008915139653844106,-0.013774387630535151,-0.019329445914077897,-0.02561166555656516,-0.032512420914294654,-0.0398384727213523,-0.04736288204843517,-0.05485971063456649,-0.062123793093912555,-0.06897989909804722,-0.07528529791359337
1999-08,-0.0012198850442269385,-0.007356270081677309,-0.014568284156871607,-0.02233862427218044,-0.03075377511925661,-0.039824042950958614,-0.04940691233996088,-0.05926912943543746,-0.06915347746843589,-0.07882207803516492,-0.08807785194811854,-0.09677143987768208,-0.10479992245752642,-0.11210159566376296
1999-09,-0.008187321514699988,-0.020683442280347165,-0.03314812211827144,-0.045329562289279056,-0.057610700967104765,-0.07018268475624048,-0.0829870108717343,-0.09582016179995198,-0.10843092909371091,-0.12057994965656774,-0.13206808812713813,-0.14274553951506155,-0.15251077461036847,-0.16130495432512296
1999-10,-0.014151796888228013,-0.032589808252206996,-0.04994601598394056,-0.06609113440262934,-0.08148724502141322,-0.09632503444922161,-0.11055357627354898,-0.12402563927004792,-0.13659608662128306,-0.14816675852369834,-0.1586981455691641,-0.16820485534294918,-0.1767449355217459,-0.18440811069272858
1999-11,-0.010560840552201169,-0.023952298024275558,-0.036305303272193286,-0.04766785186552978,-0.058622815267888546,-0.06949718782524561,-0.08032452971970833,-0.09096392705956952,-0.10120845429890019,-0.11085313869075958,-0.11972919855380465,-0.12771674959172524,-0.13474558258835728,-0.1407901525942558
1999-12,-0.014077299273501369,-0.031120713414083172,-0.046675637645212244,-0.06155248954321222,-0.07648776705450946,-0.09160791362703405,-0.10668749803852731,-0.12138974524795595,-0.1353962677118463,-0.14845991130171812,-0.16041723267666677,-0.17118287104953603,-0.18073725760159545,-0.18911298982203165
2000-01,-0.014940854462806602,-0.03447207257330386,-0.05314593958914523,-0.07104889191179864,-0.08820721087517946,-0.10437634020632425,-0.11930256200695799,-0.13284086256319683,-0.14496682674379713,-0.15575041251341293,-0.16532438374548275,-0.17385825607986982,-0.18153951507284982,-0.1885609717233815
2000-02,-0.013329187370243953,-0.030944823175447292,-0.04745612846684895,-0.06250942769699226,-0.0759363853411877,-0.08745268255743917,-0.09684401772338204,-0.1040512380161971,-0.10916527750621015,-0.11238869567232886,-0.11399416968234839,-0.11429059533510506,-0.11359853075345223,-0.11223364425129641
