Date,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
1979-06,0,-0.09188871428571428,-0.17763466666666666,-0.2628452857142857,-0.3480182857142857,-0.43318857142857137,-0.5183585714285714,-0.6035276666666666,-0.6886975238095238,-0.7738671428571429,-0.8590357142857143,-0.9442059523809524,-1.0293765714285712,-1.1145463333333334,-1.1997146666666667,-1.2848857142857146
1979-07,0,-0.091577,-0.1768732380952381,-0.262068,-0.3472622857142857,-0.4324559523809524,-0.5176500000000002,-0.6028436666666667,-0.6880377142857144,-0.7732307142857143,-0.858425238095238,-0.9436198095238095,-1.028812,-1.114007142857143,-1.1992,-1.2843957142857145
1979-08,0,-0.09536008695652175,-0.1821418260869565,-0.2681565652173913,-0.3541151304347826,-0.440069347826087,-0.526023652173913,-0.6119768260869565,-0.6979307826086957,-0.7838847391304348,-0.8698391304347826,-0.9557938260869565,-1.0417471304347827,-1.1277008260869565,-1.2136545217391304,-1.2996078260869566
1979-09,0,-0.1046658947368421,-0.19469642105263157,-0.28262194736842106,-0.37042315789473684,-0.4582176315789474,-0.5460123157894736,-0.6338065263157894,-0.7216012631578947,-0.8093955789473685,-0.8971894736842106,-0.9849845789473685,-1.0727791578947368,-1.1605722631578947,-1.2483674736842103,-1.3361621052631578
1979-10,0,-0.1179193181818182,-0.22006727272727275,-0.31764040909090907,-0.41372145454545456,-0.5091804545454546,-0.6043674545454546,-0.6994336363636364,-0.7944494545454546,-0.8894458636363636,-0.9844350000000001,-1.079421,-1.1744078181818183,-1.2693950454545455,-1.3643827272727274,-1.4593704545454547
1979-11,0,-0.11832684210526315,-0.22372494736842108,-0.32409884210526313,-0.42280652631578947,-0.5212297368421053,-0.6198805263157895,-0.7189014736842105,-0.8182816842105264,-0.9179658947368422,-1.0178863157894738,-1.1179832631578945,-1.2182103157894737,-1.3185304736842105,-1.418916947368421,-1.5193507894736842
1979-12,0,-0.1158164,-0.21444499999999997,-0.3087855,-0.40346139999999997,-0.49974699999999994,-0.5976798,-0.6969339999999999,-0.7971432,-0.89800335,-0.9992945,-1.1008640500000002,-1.2026100000000002,-1.3044668,-1.4063910000000002,-1.5083587499999997
1980-01,0,-0.11660704545454546,-0.21898663636363636,-0.31706304545454544,-0.41536581818181817,-0.5156143181818181,-0.6181519090909091,-0.7227200909090908,-0.8288501818181818,-0.9360638181818182,-1.0439463636363637,-1.1521780000000001,-1.2605258181818184,-1.368835,-1.4770038181818184,-1.5849831818181819
1980-02,0,-0.1312836842105263,-0.25427663157894737,-0.3695317894736842,-0.48190799999999995,-0.5946397368421054,-0.7091497894736842,-0.8257767368421053,-0.9443444210526316,-1.0644982105263157,-1.185874736842105,-1.3081472105263159,-1.4310644210526318,-1.554433947368421,-1.6781254736842106,-1.8020352631578949
1980-03,0,-0.1513714761904762,-0.2827288571428571,-0.4003725714285714,-0.510923619047619,-0.6191909523809523,-0.7281625714285714,-0.8394843333333334,-0.9539158095238095,-1.0716835714285715,-1.192717619047619,-1.3167838095238094,-1.4435942857142856,-1.5728347142857142,-1.7042099999999998,-1.8374464285714287
1980-04,0,-0.128871,-0.2368810476190476,-0.339629,-0.44238971428571433,-0.5470569047619047,-0.6541082857142857,-0.763418,-0.8746346666666667,-0.9873638571428571,-1.101247619047619,-1.2159908095238094,-1.331362285714286,-1.447186,-1.5633306666666664,-1.6797021428571428
1980-05,0,-0.09220828571428573,-0.18402419047619048,-0.27710328571428566,-0.3731832380952381,-0.47280999999999995,-0.5757245714285715,-0.6813276666666667,-0.7889786666666666,-0.8981138571428572,-1.0082938095238094,-1.1191908095238097,-1.2305702857142857,-1.3422698095238097,-1.4541826666666664,-1.5662321428571429
1980-06,0,-0.0814792857142857,-0.17110542857142857,-0.2637027142857143,-0.3576805714285714,-0.4528561904761905,-0.5495322857142857,-0.64811,-0.7489424761904762,-0.8522841428571429,-0.9582857142857143,-1.0670068095238094,-1.1784365714285714,-1.2925051904761904,-1.4091086666666666,-1.528117142857143
1980-07,0,-0.08585227272727274,-0.17819945454545455,-0.2741874545454545,-0.3722738181818182,-0.4718029545454545,-0.5726964545454546,-0.6752343181818181,-0.7798949090909092,-0.8872494545454546,-0.9978840909090909,-1.112355,-1.2311574545454547,-1.354711090909091,-1.4833502727272727,-1.6173211363636364
1980-08,0,-0.09969152380952381,-0.2059047619047619,-0.3123492857142857,-0.4182474285714286,-0.5243090476190476,-0.6313917142857142,-0.7401323333333334,-0.850912380952381,-0.9639051428571429,-1.0791395238095238,-1.1965559047619048,-1.3160405714285712,-1.437447761904762,-1.5606233333333333,-1.685405
1980-09,0,-0.11128142857142857,-0.2255694285714286,-0.3374298571428571,-0.44681295238095237,-0.555150238095238,-0.663884,-0.774047,-0.8862255238095238,-1.0006602857142857,-1.1173661904761905,-1.2362177142857145,-1.3570234285714284,-1.4795621904761904,-1.6036166666666667,-1.7289807142857143
1980-10,0,-0.11915968181818182,-0.23397272727272728,-0.34598795454545456,-0.45689345454545455,-0.5678806818181819,-0.6797312727272726,-0.7928909545454546,-0.9075505454545454,-1.0237328181818182,-1.1413586363636365,-1.2602915000000001,-1.3803654545454547,-1.5014243636363636,-1.6233101818181819,-1.7458793181818182
1980-11,0,-0.13430764705882353,-0.2569154117647059,-0.3764315294117647,-0.4952971764705882,-0.6140744117647059,-0.7328611764705883,-0.8516628235294118,-0.9704738823529411,-1.0892853529411766,-1.208098823529412,-1.3269112352941177,-1.4457268235294118,-1.5645400588235294,-1.6833534117647058,-1.8021679411764706
1980-12,0,-0.14204554545454545,-0.26534518181818184,-0.38599718181818177,-0.5049172727272727,-0.6230740909090909,-0.7409528181818181,-0.8587351818181818,-0.9764858181818181,-1.0942257272727272,-1.2119609090909091,-1.3296965,-1.4474274545454544,-1.565161,-1.6828941818181817,-1.8006272727272727
1981-01,0,-0.133566,-0.24986161904761903,-0.3673485714285714,-0.48531790476190473,-0.6032588095238095,-0.7210782857142857,-0.8388006666666666,-0.9564609523809524,-1.07409,-1.1916995238095238,-1.3092964761904762,-1.426892,-1.5444872857142857,-1.6620766666666666,-1.7796692857142857
1981-02,0,-0.13714333333333334,-0.2604308888888889,-0.38432,-0.5084382222222222,-0.6326244444444445,-0.7568263333333334,-0.8810332222222221,-1.0052422222222221,-1.1294495,-1.253658333333333,-1.377864888888889,-1.5020719999999999,-1.626281222222222,-1.7504892222222221,-1.874696666666667
1981-03,0,-0.13080186363636362,-0.25690836363636366,-0.383016,-0.5091229090909092,-0.6352297727272728,-0.7613372727272727,-0.8874450454545453,-1.0135516363636363,-1.1396593636363637,-1.2657663636363636,-1.3918755,-1.5179814545454546,-1.6440893181818181,-1.7701962727272726,-1.8963040909090907
1981-04,0,-0.13570280952380953,-0.2679577142857143,-0.40003071428571435,-0.5309626666666667,-0.6607721428571428,-0.7898317142857143,-0.9184699999999999,-1.046896761904762,-1.1752225714285713,-1.3035023809523811,-1.431760523809524,-1.5600114285714286,-1.6882586190476192,-1.816504,-1.944747142857143
1981-05,0,-0.1533173,-0.2920574,-0.42371685000000003,-0.5529832,-0.6817125,-0.8103384,-0.9389443,-1.0675464,-1.1961472499999997,-1.3247495,-1.453353,-1.5819534000000002,-1.7105562500000002,-1.8391568999999999,-1.9677577499999999
1981-06,0,-0.14169004545454544,-0.2743593636363636,-0.4015223181818182,-0.5258383636363636,-0.6492909090909091,-0.7725283636363636,-0.8957165,-1.0188941818181818,-1.1420693181818182,-1.2652436363636366,-1.388418,-1.511594181818182,-1.6347683181818182,-1.7579424545454545,-1.8811186363636365
1981-07,0,-0.14963577272727271,-0.2896556363636364,-0.4254375,-0.5580218181818182,-0.6886924999999999,-0.8183124545454545,-0.947378409090909,-1.0761603636363635,-1.2048021818181818,-1.3333745454545454,-1.4619145,-1.590440181818182,-1.7189563181818184,-1.8474705454545455,-1.9759847727272728
1981-08,0,-0.15841995238095236,-0.3066847619047619,-0.44836528571428574,-0.5857874285714286,-0.7208414285714286,-0.854698,-0.9879769999999999,-1.1209881904761907,-1.2538744285714285,-1.3867009523809524,-1.5195001904761904,-1.6522845714285714,-1.785059714285714,-1.9178286666666668,-2.0505964285714287
1981-09,0,-0.15814128571428573,-0.3115094285714286,-0.4576578571428571,-0.5999737142857142,-0.7406361904761904,-0.880698,-1.0206099999999998,-1.1605386666666666,-1.3005351428571428,-1.4405938095238096,-1.5807036666666665,-1.7208525714285714,-1.8610224285714287,-2.001209333333333,-2.141403571428571
1981-10,0,-0.14744795238095237,-0.2959341904761905,-0.44085585714285724,-0.5831961904761905,-0.724407619047619,-0.8655437142857142,-1.0072036666666666,-1.1496579047619047,-1.292973857142857,-1.4371071428571431,-1.5819686666666666,-1.7274537142857143,-1.8734584761904762,-2.0198946666666666,-2.1666821428571432
1981-11,0,-0.12200388888888888,-0.24927433333333332,-0.37762683333333336,-0.5059388888888889,-0.63413,-0.7625059999999999,-0.8914947222222223,-1.0215244444444445,-1.152949,-1.2860327777777778,-1.4209549444444445,-1.5578059999999998,-1.696614111111111,-1.8373568888888887,-1.9799708333333332
1981-12,0,-0.12500386363636365,-0.2586409090909091,-0.39156,-0.5232534545454546,-0.6543895454545455,-0.7855707272727273,-0.9171587727272728,-1.0493083636363636,-1.1820444545454547,-1.3153159090909092,-1.4490414999999999,-1.5831376363636365,-1.7175251363636364,-1.8521376363636366,-1.986918409090909
1982-01,0,-0.13820939999999998,-0.2809453,-0.4204994999999999,-0.558716,-0.697249,-0.8366777999999999,-0.9769868499999999,-1.1179632,-1.25938935,-1.401096,-1.54297,-1.684941,-1.8269627999999998,-1.9690173999999998,-2.11108575
1982-02,0,-0.14217833333333332,-0.2822012222222222,-0.4196071666666667,-0.5553935555555555,-0.6906544444444446,-0.8262116666666667,-0.9625832222222221,-1.1000422222222221,-1.2386975,-1.3785538888888889,-1.5195528333333335,-1.6616033333333335,-1.8046007777777777,-1.9484360000000003,-2.0930133333333334
1982-03,0,-0.13484821739130434,-0.27021747826086956,-0.4037913913043478,-0.5354499130434782,-0.6657721739130434,-0.795416347826087,-0.9249096956521741,-1.0546020869565218,-1.1846954347826086,-1.3152817391304348,-1.4463790000000003,-1.5779624347826084,-1.7099866521739129,-1.842393913043478,-1.9751236956521743
1982-04,0,-0.13619366666666669,-0.2723773333333333,-0.4058845714285714,-0.5368876190476191,-0.6661609523809524,-0.7944011428571429,-0.9220876666666666,-1.049512,-1.1768352857142859,-1.3041404761904762,-1.4314640476190477,-1.5588199999999999,-1.6862083333333335,-1.8136279999999998,-1.9410714285714286
1982-05,0,-0.13081354999999997,-0.26415370000000005,-0.39535935,-0.5247314,-0.653041,-0.780816,-0.9083424000000002,-1.0357624,-1.1631388499999997,-1.2905,-1.4178576500000002,-1.5452172,-1.6725735000000002,-1.7999338,-1.9272937500000005
1982-06,0,-0.1363079090909091,-0.2761420909090909,-0.41380731818181826,-0.5496830909090908,-0.6845638636363637,-0.8189435454545453,-0.953078,-1.0870920000000002,-1.2210496363636363,-1.3549772727272726,-1.4888934999999999,-1.6228030909090907,-1.756708909090909,-1.890614090909091,-2.0245172727272727
1982-07,0,-0.13051342857142856,-0.2668294285714286,-0.40205614285714286,-0.5357121904761905,-0.6682185714285714,-0.8000131428571428,-0.9313959999999999,-1.0625481904761904,-1.193571857142857,-1.3245280952380953,-1.455445619047619,-1.5863445714285715,-1.7172325238095238,-1.8481146666666666,-1.9789942857142857
1982-08,0,-0.11435104545454547,-0.2413248181818182,-0.36781472727272724,-0.4939963636363636,-0.6200731818181818,-0.7461190909090909,-0.8721554545454544,-0.9981901818181818,-1.124222318181818,-1.2502545454545453,-1.3762889999999997,-1.502320909090909,-1.628354590909091,-1.7543864545454544,-1.8804190909090908
1982-09,0,-0.1093632380952381,-0.23187533333333335,-0.3521141428571429,-0.4714857142857143,-0.5906383333333334,-0.7097394285714285,-0.8288276666666667,-0.9479158095238095,-1.0670022857142858,-1.1860880952380954,-1.3051740952380952,-1.4242611428571428,-1.543346380952381,-1.6624333333333334,-1.7815185714285713
1982-10,0,-0.09502745000000001,-0.20416879999999998,-0.31452044999999995,-0.4250884,-0.5357127500000001,-0.6463497,-0.7569912,-0.8676312,-0.9782730000000001,-1.0889140000000002,-1.19955495,-1.310196,-1.4208376,-1.5314789,-1.64211825
1982-11,0,-0.09185947368421052,-0.19543347368421052,-0.3022792105263158,-0.4098997894736842,-0.5176260526315789,-0.6252846315789473,-0.7328436315789474,-0.8403145263157894,-0.9477194210526315,-1.0550773684210526,-1.162398947368421,-1.269701052631579,-1.376988736842105,-1.4842696842105263,-1.5915442105263158
1982-12,0,-0.08958390909090909,-0.19163027272727273,-0.2998689545454546,-0.4103994545454545,-0.5209659090909091,-0.630444,-0.7384719999999999,-0.845194909090909,-0.9510655909090909,-1.0567236363636363,-1.162887,-1.2702992727272728,-1.379669909090909,-1.4916503636363636,-1.6068279545454547
1983-01,0,-0.08687176190476191,-0.18560561904761905,-0.29117914285714286,-0.4001977142857143,-0.5105002380952381,-0.6208434285714286,-0.7306520000000001,-0.8398274285714286,-0.9485991428571429,-1.0574014285714286,-1.1667951428571428,-1.2774005714285712,-1.389842380952381,-1.504728,-1.6226185714285715
1983-02,0,-0.08968194736842106,-0.19114442105263157,-0.2990755263157895,-0.4100124210526316,-0.5218621052631579,-0.6335204210526316,-0.7445881578947368,-0.8551456842105263,-0.9655815789473684,-1.076476842105263,-1.188499052631579,-1.3023454736842104,-1.4186927368421052,-1.5381711578947368,-1.6613352631578946
