qdate     price1     price2     price3     price4     price5
851231     92.794     85.467     78.287     71.378     64.959
860131     92.722     85.545     78.138     71.267     64.894
860228     92.907     85.976     79.302     72.939     66.917
860331     93.434     87.221     80.838     74.722     69.184
860430     93.710     87.456     80.743     74.758     69.064
860530     93.411     86.369     79.490     72.472     66.672
860630     93.783     87.315     80.755     74.238     68.721
860731     93.991     87.883     80.933     75.050     69.096
860829     94.650     88.768     82.672     76.927     71.723
860930     94.343     88.105     81.737     75.216     69.477
861031     94.521     88.406     82.218     76.225     70.270
861128     94.400     88.448     82.603     76.679     71.346
861231     94.120     88.168     82.286     76.668     70.762
870130     94.281     88.312     82.383     76.589     71.361
870227     94.168     88.172     82.376     76.629     71.360
870331     93.989     87.880     81.793     76.051     70.240
870430     93.392     86.539     79.662     73.305     67.559
870529     93.102     85.836     78.967     72.535     66.621
870630     93.387     86.316     79.533     73.139     66.980
870731     93.318     86.079     79.035     72.645     66.567
870831     93.030     85.496     78.306     71.789     65.608
870930     92.401     84.467     76.891     69.716     63.428
871030     93.472     85.810     78.573     71.655     65.780
871130     93.331     85.959     78.728     71.837     65.486
871231     93.014     85.850     78.912     72.263     65.992
880129     93.450     86.646     80.111     73.804     68.092
880229     93.606     86.929     80.482     74.338     68.581
880331     93.380     86.471     79.777     73.231     67.111
880429     93.173     85.844     78.923     72.226     66.184
880531     92.622     85.124     78.023     71.137     64.919
880630     92.766     85.463     78.613     72.072     65.987
880729     92.360     84.731     77.732     71.105     65.052
880831     92.078     84.317     77.242     70.464     64.424
880930     92.355     84.794     77.799     71.421     65.385
881031     92.402     85.085     78.426     72.094     66.325
881130     91.885     84.128     77.176     70.508     64.619
881230     91.511     83.614     76.351     69.758     63.728
890131     91.500     83.685     76.650     70.114     64.296
890228     91.070     83.009     75.766     69.046     63.254
890331     90.851     82.730     75.280     68.804     62.839
890428     91.302     83.357     76.245     69.822     64.080
890531     91.608     84.190     77.253     70.949     65.227
890630     92.223     85.413     78.856     73.017     67.223
890731     92.684     86.312     79.950     74.269     68.957
890831     92.208     84.831     78.221     72.117     66.587
890929     92.048     84.698     77.941     71.839     66.257
891031     92.546     85.769     79.201     73.289     67.839
891130     92.618     85.941     79.519     73.528     68.097
891229     92.497     85.631     79.111     73.181     67.812
900131     92.242     85.048     78.285     71.978     66.204
900228     92.266     84.806     78.034     71.573     65.781
900330     92.089     84.379     77.358     71.038     65.252
900430     91.817     83.927     76.698     70.047     64.165
900531     92.200     84.712     77.848     71.287     65.422
900629     92.381     85.102     78.302     71.946     66.109
900731     92.619     85.646     78.990     72.773     66.905
900831     92.682     85.375     78.378     71.664     65.517
900928     92.658     85.404     78.510     71.828     65.717
901031     92.816     85.895     79.138     72.532     66.484
901130     92.949     86.287     79.716     73.311     67.478
901231     93.316     86.825     80.299     74.172     68.210
910131     93.605     87.092     80.649     74.259     68.637
